epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
96,624.38,1.36224,1.0504,0.01931,0.61892,0.65329,0.65859,0.34848,1.60783,1.26176,0.02969,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
97,630.996,1.38206,1.06486,0.01967,0.57716,0.55459,0.57814,0.29287,1.80032,1.35291,0.03386,0.0294298,0.00980992,0.0294298,0.00980992,0.0294298,0.00980992,0.0294298,0.00980992
98,636.971,1.33571,1.03145,0.01924,0.60481,0.69915,0.68988,0.37219,1.58729,1.15366,0.02919,0.0294238,0.00980794,0.0294238,0.00980794,0.0294238,0.00980794,0.0294238,0.00980794
99,643.603,1.3364,1.03126,0.01855,0.68805,0.64725,0.68519,0.38725,1.57434,1.13277,0.02937,0.0294179,0.00980596,0.0294179,0.00980596,0.0294179,0.00980596,0.0294179,0.00980596
100,650.469,1.33314,1.02305,0.01912,0.64648,0.65172,0.68538,0.38282,1.59346,1.17922,0.029,0.0294119,0.00980398,0.0294119,0.00980398,0.0294119,0.00980398,0.0294119,0.00980398
101,657.101,1.34291,1.03957,0.0191,0.5693,0.61299,0.61188,0.32606,1.64681,1.33953,0.03032,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
102,663.778,1.33442,1.0333,0.01896,0.62294,0.60291,0.64748,0.34312,1.6031,1.27399,0.03008,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002,0.0294001,0.00980002
103,670.339,1.35236,1.04246,0.01919,0.59604,0.665,0.65245,0.35813,1.63318,1.1713,0.03004,0.0293941,0.00979804,0.0293941,0.00979804,0.0293941,0.00979804,0.0293941,0.00979804
104,677.012,1.32091,1.0258,0.01881,0.64031,0.63277,0.66841,0.36425,1.53978,1.19079,0.02816,0.0293882,0.00979606,0.0293882,0.00979606,0.0293882,0.00979606,0.0293882,0.00979606
105,683.325,1.32477,1.01975,0.0187,0.61838,0.69574,0.68322,0.37826,1.52369,1.14918,0.02833,0.0293822,0.00979408,0.0293822,0.00979408,0.0293822,0.00979408,0.0293822,0.00979408
